Page URL,Source,Followers,Date,Time,Time Zone,Post Type,Interactions,Post Message,Post Link
Facebook.com/Txrebels,Heart of Texas,183745,2017-02-23,15:59:00 , GMT-0500,Facebook,9428,,https://www.facebook.com/txrebels/posts/1138882782900210
Facebook.com/Txrebels,Heart of Texas,244655,2017-08-03,15:00:00 , GMT-0400,Facebook,9372,,https://www.facebook.com/txrebels/posts/1306149882840165
Facebook.com/Txrebels,Heart of Texas,244655,2017-08-03,18:00:00 , GMT-0400,Facebook,9347,,https://www.facebook.com/txrebels/posts/1306151142840039
Facebook.com/Txrebels,Heart of Texas,170235,2017-01-12,14:55:00 , GMT-0500,Facebook,9239,,https://www.facebook.com/txrebels/posts/1098382056950283
Facebook.com/Txrebels,Heart of Texas,168668,2017-01-07,15:00:00 , GMT-0500,Facebook,9140,,https://www.facebook.com/txrebels/posts/1085631604891995
Facebook.com/Txrebels,Heart of Texas,193568,2017-03-20,16:59:02 , GMT-0400,Facebook,9082,,https://www.facebook.com/txrebels/posts/1163869200401568
Facebook.com/Txrebels,Heart of Texas,185692,2017-02-28,17:00:03 , GMT-0500,Facebook,9031,,https://www.facebook.com/txrebels/posts/1145202438934911
Facebook.com/Txrebels,Heart of Texas,159148,2016-12-06,15:40:00 , GMT-0500,Facebook,8871,,https://www.facebook.com/txrebels/posts/1065336826921473
Facebook.com/Txrebels,Heart of Texas,245850,2017-08-08,15:30:00 , GMT-0400,Facebook,8838,,https://www.facebook.com/txrebels/posts/1311140472341106
Facebook.com/Txrebels,Heart of Texas,237521,2017-07-13,19:28:00 , GMT-0400,Facebook,8530,,https://www.facebook.com/txrebels/posts/1283707328417754
Facebook.com/Txrebels,Heart of Texas,192820,2017-03-17,20:00:01 , GMT-0400,Facebook,8355,,https://www.facebook.com/txrebels/posts/1161189330669555
Facebook.com/Txrebels,Heart of Texas,200986,2017-04-04,20:11:00 , GMT-0400,Facebook,8336,,https://www.facebook.com/txrebels/posts/1173089309479557
Facebook.com/Txrebels,Heart of Texas,160730,2016-12-15,17:20:00 , GMT-0500,Facebook,8320,,https://www.facebook.com/txrebels/posts/1074964495958706
Facebook.com/Txrebels,Heart of Texas,234260,2017-07-03,20:00:00 , GMT-0400,Facebook,8176,,https://www.facebook.com/txrebels/posts/1273903792731441
Facebook.com/Txrebels,Heart of Texas,234018,2017-07-01,19:00:00 , GMT-0400,Facebook,8147,,https://www.facebook.com/txrebels/posts/1270850646370089
Facebook.com/Txrebels,Heart of Texas,191401,2017-03-11,17:00:00 , GMT-0500,Facebook,8027,,https://www.facebook.com/txrebels/posts/1151240694997752
Facebook.com/Txrebels,Heart of Texas,216631,2017-05-07,16:51:00 , GMT-0400,Facebook,7903,,https://www.facebook.com/txrebels/posts/1203134036475084
Facebook.com/Txrebels,Heart of Texas,233888,2017-07-01,18:00:00 , GMT-0400,Facebook,7893,,https://www.facebook.com/txrebels/posts/1267430006712153
Facebook.com/Txrebels,Heart of Texas,218863,2017-05-13,19:00:00 , GMT-0400,Facebook,7880,,https://www.facebook.com/txrebels/posts/1219434504845037
Facebook.com/Txrebels,Heart of Texas,184091,2017-02-24,17:00:01 , GMT-0500,Facebook,7799,,https://www.facebook.com/txrebels/posts/1138885116233310
Facebook.com/Txrebels,Heart of Texas,235677,2017-07-08,20:16:00 , GMT-0400,Facebook,7760,,https://www.facebook.com/txrebels/posts/1274945105960643
Facebook.com/Txrebels,Heart of Texas,224320,2017-06-10,18:00:00 , GMT-0400,Facebook,7724,,https://www.facebook.com/txrebels/posts/1247171395404681
Facebook.com/Txrebels,Heart of Texas,229567,2017-06-18,19:00:00 , GMT-0400,Facebook,7688,,https://www.facebook.com/txrebels/posts/1256349877820166
Facebook.com/Txrebels,Heart of Texas,215476,2017-05-02,20:07:00 , GMT-0400,Facebook,7656,,https://www.facebook.com/txrebels/posts/1203151669806654
Facebook.com/Txrebels,Heart of Texas,177029,2017-02-05,9:19:01 , GMT-0500,Facebook,7638,,https://www.facebook.com/txrebels/posts/1119134834875005
Facebook.com/Txrebels,Heart of Texas,173588,2017-01-26,18:30:00 , GMT-0500,Facebook,7622,,https://www.facebook.com/txrebels/posts/1113333242121831
Facebook.com/Txrebels,Heart of Texas,158771,2016-12-04,14:00:00 , GMT-0500,Facebook,7589,,https://www.facebook.com/txrebels/posts/1061207300667759
Facebook.com/Txrebels,Heart of Texas,193568,2017-03-20,18:00:00 , GMT-0400,Facebook,7585,,https://www.facebook.com/txrebels/posts/1163869437068211
Facebook.com/Txrebels,Heart of Texas,211767,2017-04-21,18:00:00 , GMT-0400,Facebook,7575,,https://www.facebook.com/txrebels/posts/1200723803382774
Facebook.com/Txrebels,Heart of Texas,248065,2017-08-16,19:00:00 , GMT-0400,Facebook,7540,,https://www.facebook.com/txrebels/posts/1319789938142826
Facebook.com/Txrebels,Heart of Texas,235067,2017-07-07,19:00:00 , GMT-0400,Facebook,7416,,https://www.facebook.com/txrebels/posts/1274940802627740
Facebook.com/Txrebels,Heart of Texas,235294,2017-07-08,18:30:00 , GMT-0400,Facebook,7405,,https://www.facebook.com/txrebels/posts/1274942952627525
Facebook.com/Txrebels,Heart of Texas,238467,2017-07-16,19:12:00 , GMT-0400,Facebook,7395,,https://www.facebook.com/txrebels/posts/1285047901617030
Facebook.com/Txrebels,Heart of Texas,250245,2017-08-24,15:00:00 , GMT-0400,Facebook,7348,,https://www.facebook.com/txrebels/posts/1328129067308913
